ay_ending,cip_44_programs,cip_44_students,cip_4404_programs,cip_4404_students,cip_4404_mean,cip_4405_programs,cip_4405_students,cip_4405_mean
2017,618,45732,380,12628,33,102,2855,28
2016,599,47030,372,12710,34,93,2890,31
2015,582,46184,372,12858,35,87,2968,34
2014,549,44552,363,13237,36,84,2960,35
2013,539,43316,351,13190,38,83,2981,36
2012,513,41523,334,12749,38,74,2819,38
2011,491,38613,317,11922,38,72,2682,37
2010,475,35755,315,10756,34,71,2476,35
2009,453,33980,297,9861,33,67,2201,33
2008,445,32976,292,9602,33,61,2163,35
2007,432,31172,280,9117,33,54,2019,37
2006,423,30476,278,9143,33,50,1838,37
2005,411,29579,272,8923,33,50,1865,37
2004,404,28227,270,8094,30,46,1658,36
2003,389,25912,264,7456,28,42,1366,33
2002,380,25439,259,7376,28,34,988,29
2001,369,25290,256,7259,28,33,864,26
2000,365,25573,257,7486,29,29,860,30
1999,361,24961,256,6848,27,32,1026,32
1998,348,25109,249,7177,29,31,1055,34
1997,341,24720,250,7519,30,28,976,35
1996,339,24164,255,7546,30,28,862,31
1995,341,23457,258,7247,28,27,846,31
1994,332,21773,254,6654,26,25,777,31
1993,332,20556,256,6298,25,22,670,30
1992,326,19163,250,5982,24,23,590,26
1991,326,18043,230,5259,23,18,436,24
1990,327,17513,232,5150,22,16,416,26
1989,327,17045,224,5012,22,17,476,28
1988,320,16326,220,5081,23,16,433,27
1987,318,16355,221,4889,22,17,458,27
